	-1
Taylor told police that he was fighting with his business partner about money when his partner fired two shots	182
seven	183
 3 shots were fired 	184
gunshot wound to his abdomen and what appeared to be a possible powder burn on his hand	185
unknown	186
pisto	187
two shots. Police believe the argument was drug-related. Police have not released the name of the bu	188
three shots	189
 two dozen gunshots	190
a gunshot woun	191
 a gunshot wound 	192
shot once	193
three spent rounds 	194
six gun shots	195
shot twice	196
three rounds	197
at least five shots	198
much of it was used	199
One round was fired	200
 multiple gunshots	201
his partner fired two shots.	202
 fired two shot	203
hitting Peek multiple times	204
single gunshot wound	205
More than one shot	206
each dead from a single gunshot wound	207
65 to 75 rounds	208
16	209
when his partner fired two shots	210
he fired the weapon at least five times	211
 a bullet 	212
a firearm that went off, sending a bullet	213
shootout	214
weapon discharged and a round entered	215
 officer fired at least once	216
at least one	217
wo shots	218
The man shot him	219
shot at two	220
at least 13 rounds	221
24	222
three times, and MacNamara fired once	223
 five times	224
bullet that was in the chamber was fired	225
here have been other shootings, including fatal ones, in the Jack London Square area	226
powder burn on his hand	227
two shots. 	228
eight gunshots	229
 his partner fired two shots	230
Gold was shot after he attempted to stop Cain, who then pointed a gun at Gold and demanded money before shooting him, officials said. Cain attempted to shoot him a second time, but the gun jammed and he fled the area in the SUV.	231
d two shots	232
about seven	233
twice in the chest and once in the arm	234
both shot multiple times	235
 multiple times. 	236
heard six or seven shots	237
 wait until the autopsy is done before revealing how many times Clark was shot	238
had a gunshot wound	239
multiple times.	240
gun discharged while he was cleaning it	241
about six shots	242
single gunshot 	243
fired at least one round	244
severa	245
several rounds	246
 nine	247
at least 10 shots	248
Twenty shots	249
volley 	250
like six or seven shots in a row	251
About two dozen gunshots	252
shot 	253
Johnson had been shot eight times, including three times in the chest and once in the head. Christiansen had been shot twice	254
 a gunshot wound to his abdomen and what appeared to be a possible powder burn on his hand	255
10	256
16 	257
t 3 shots	258
 multiple gunshot	259
Several shots were fired	260
Dimas fired four rounds	261
once in the chest	262
 a gunshot	263
shot him several times	264
a dozen shots	265
continuous gunfire. A barrage of bullets 	266
six gunshots	267
 ten separate fires	268
four or five shots	269
three bullets	270
10 shots	271
several times 	272
At least 20 shots	273
four 	274
at least one round	275
52	276
 30-round magazine, and much of it was used	277
five to 10	278
10 times by one officer and two times by another officer	279
about four	280
a single gunshot was fired at him	281
seven 	282
three gunshot wounds	283
struck twice	284
 multiple 	285
Several	286
33 bullets	287
ONE	288
 was shot	289
 fired one round 	290
single shot	291
numerous	292
least one shot	293
 five to 10 shots	294
1, maybe 2 shots,	295
 four bullet holes	296
fire one shot	297
wound to his abdomen	298
42	299
 three	300
18 times	301
18	302
no shots were fired	303
shots fired 	304
30 rounds	305
100 rounds	306
 two cracks	307
three times	308
 gunshot wound	309
22 times	310
 several	311
five	312
 a	313
single 	314
 several gunshots	315
three to four	316
11	317
100	318
five or six shots	319
fired again	320
fired multiple times	321
 more than a dozen shots	322
more than a dozen	323
 several shell casings	324
 several 	325
Both 15-year-old girls suffered a single gunshot wound	326
2	327
twice 	328
 shooting went on for several hours	329
 barrage of gunshots	330
30	331
Four gunshots	332
fired several shots	333
firing several rounds	334
 seven shots	335
two or three	336
 it’s unclear how many bullets were fired	337
6-8	338
four gunshot wounds	339
pulled the trigger	340
 at least one gunshot wound	341
multiple rounds	342
Campbell admitted to shooting twice	343
 six	344
 seven rounds	345
Multiple	346
 FIVE SHOTS	347
12 	348
25 shots	349
 three 	350
 hailstorm of bullets	351
12	352
 two dozen	353
gunshots fired	354
between six and 10 gunshots	355
AT LEAST ONE GUN SHOT 	356
shot.	357
six or seven gunshots	358
shot two times	359
one round	360
shot 16	361
 about seven	362
shots	363
9 times	364
ten 	365
five to seven shots	366
Several casings	367
multiple gunshot 	368
 he shot himself once	369
 at least once	370
at least three	371
multiple times, including one shot to the head	372
3 shot	373
12 times	374
brazen, large-scale, ongoing firearm incident	375
at least 12 	376
once in the chest, and once in the torso	377
10 	378
27	379
At least one round	380
 9	381
multiple shots 	382
 bullet hole	383
two bullets as he leaned across the seat to shield his daughter, according to prosecutors. A third bullet	384
50 shots	385
eight rounds	386
shots being 	387
 a stray bullet	388
 one shot	389
at least 20 shots	390
gunshots	391
 two dozen 	392
 eight shots	393
many	394
known that 3 shots were fired	395
single bullet	396
Eight shell casings	397
 a bullet	398
a gunsho	399
five gunshots	400
a self-inflicted gunshot wound	401
2 dozen shots	402
 five	403
Two	404
32 rounds 	405
10 to 12	406
7 shots	407
 three rounds 	408
12 shots fired	409
eight	410
60	411
fired several more times	412
30 shots	413
more than a dozen 	414
six bullet	415
 several shots	416
a shot 	417
half dozen rounds	418
grazed	419
nine .40 caliber shell casings and 21 casings from the rifle	420
about 10 shots	421
15 shots	422
nearly two dozen	423
five to six	424
a number of shots	425
 11 shots	426
The bullet that was fired	427
At least 30 shots fired	428
like 5 gunshots	429
At least 12 shots 	430
second	431
shot a round	432
and up to seven	433
four times in the torso, and once in the arm	434
about 25 gunshots or maybe 20	435
 fired	436
some gunshots	437
 60 	438
shot 7 or 8 times	439
 five shell casings in front of the building.	440
One	441
fired eight times 	442
fired several times	443
gunfire erupted	444
striking Bolton multiple times	445
multiple gunshot wound	446
shots rang out	447
More than one shot could be heard	448
5-6	449
five shell casings	450
 more gunshots	451
10 more rounds	452
 two sho	453
three shots were fired	454
three shootings	455
 multiple times.	456
he man had a gunshot wound to his abdomen	457
shot Bolton multiple times,	458
More than a dozen	459
 multiple gunshot wounds 	460
shot him in the face and resumed driving. Stout said the man heard him moving him around in the back of the van and turned and fired two more shots	461
several gun shots	462
 One 	463
 fired several shots 	464
 multiple gunshot wounds	465
fired at least one shot	466
16 shots	467
fired a gun	468
Four 	469
eight spent shell casings	470
five times	471
over 30	472
a single shot	473
shots being fired	474
long series	475
three and four gunshots	476
exchanged gunfire	477
 shot 	478
nine shots	479
30, 40 shots 	480
eight times 	481
dozens 	482
 numerous shots	483
one time	484
gunshot wound to the groin/stomach area	485
fired a bullet	486
 four 	487
17 to 20	488
gun went off and struck the victim	489
 twice 	490
multipl	491
eight bullet holes 	492
shot in the right arm and right leg 	493
an apparent gunshot wound	494
two gunshot wounds to his right arm and one gunshot wound to his chest.	495
 shot toward the bar 	496
137	497
a stray bullet	498
each were shot once	499
 two shots in the parking lot before Church was shot.	500
20 rounds	501
started shooting	502
three gunshots.	503
an apparent self-inflicted gunshot wound	504
several shots from the suspect’s gun.	505
25 to 30	506
 at least 15 	507
before firing several rounds	508
single round	509
The shot 	510
shot his wife once in the head, then sat down and shot himself.	511
The bullet 	512
one gun shot	513
A 19-year-old man was shot in the back and killed, police News Affairs Officer Joshua Purkiss said. Another man, 22, was shot 	514
multiple projectiles	515
shots fired”	516
 "dozens" 	517
the man had a gunshot wound	518
15	519
shot twice 	520
 it accidentally fired	521
at least six 	522
Each 10th-grader was found with one gunshot wound	523
bullet	524
as many as seven shots	525
a shooting	526
fired shots	527
one shot 	528
Several 	529
13 	530
201510	531
11 	532
multiple gun shots	533
shot in the foot	534
10 to 15 shots	535
fired four times	536
4-5 shots 	537
one fatal shot	538
heard gunfire	539
 gun multiple times 	540
at least two shots	541
Shots were fired	542
seven or eight shots	543
 shot twice 	544
at least one bullet, 	545
at least 15 gunshots	546
shots. 	547
man fired	548
shot in the left thigh	549
three or four 	550
At least a dozen bullets	551
shooting 	552
 gunshot injuries on their head	553
5, 6, 7	554
opened fire	555
exchange of gunfire	556
a least five shots	557
20-30	558
shot in the right leg	559
shot the hostage, then shot the clerk through the glass	560
gunshot wounds	561
40 to 60 	562
three shots, then ran away and fired into the air	563
shot him. 	564
a bullet	565
two people were shot 	566
single bullet wound	567
 five tim	568
 single	569
firing shots	570
nine rounds	571
at least 106 bullets	572
a single sho	573
 11	574
 more than 35 markers on a street and a staircase to indicate ammunition casings	575
A bullet	576
shooting	577
in the lower back, left leg and left arm	578
who shot him once in the abdomen and once in an arm	579
approximately six shots	580
more than 30 	581
gunshot wound to his abdomen 	582
until he was out of ammo	583
shots fired	584
officials will wait for the autopsy report before revealing how many times Clark was shot	585
bullets started flying	586
 in the head at close range	587
at least eight	588
two rounds	589
series of gunshots	590
 Shots rang out	591
fatally shoot	592
 several times	593
eight 	594
 several times 	595
eight bullet holes	596
three times in the chest, and at least twice more in the backside and arm	597
eight or nine	598
after being shot	599
fired one round	600
large of number	601
suffered several gunshot wounds to his body	602
shot Mignault several times	603
20	604
 several gunshot	605
gunshot wounds to his upper torso	606
multiple time	607
chest and abdomen	608
 five shots	609
one or two shots	610
several more shots	611
at least one gunshot	612
large of number of gunshots fired	613
triple homicide	614
at least two	615
at least four	616
shot once 	617
 one 	618
about a dozen shots	619
multiple gunshots 	620
mutiple 	621
numerous times	622
 gunshot	623
about 12 	624
mutiple	625
 barrage of bullets	626
eight or nine 	627
four or five 	628
shot several times 	629
fired shots 	630
six 	631
 several gunshot wounds 	632
 two gunshots	633
 after being shot	634
gunshot wounds 	635
n officer-involved shooting occurre	636
with a single bullet wound 	637
opened fire 	638
eight to 11 	639
 in the head and back	640
with gunshot wounds to his body.	641
 more than 10 times	642
 shot to death 	643
shot both Aragon and Chicas in the chest,	644
three times 	645
shot twice in the head and once in the torso	646
engaged in a gunfight 	647
began shooting at Ramos	648
and shot him as he slept, then turned the gun on himself.	649
was fatally shot and was pronounced dead at the scene by paramedics. His nephew was wounded from gunfire	650
10 times	651
several gunshot wounds 	652
 many times	653
It was a shootout	654
5 or 6 shots 	655
multiple gunshot wounds 	656
 shot once	657
At least one shot was fired out of the garage at sheriff's deputies	658
19	659
shooting,	660
fired several gunshots	661
about 20 	662
shot him in the lower body	663
 fired several times	664
 five bullets 	665
two gunshot wounds to his right arm and one gunshot wound to his chest	666
42 	667
was hit several times	668
shot him at close range	669
50 	670
fired multiple rounds	671
the suspect fired the gun three times	672
about six	673
barrage of bullet	674
the man was shot	675
A shot	676
dozen rounds	677
nine gunshots 	678
a single gun shot	679
nine rounds i	680
shooting exchange	681
shot the clerk in the arm	682
four times	683
36 rounds	684
two shots 	685
two non-life threatening gunshot	686
 it was 100 rounds	687
four shots	688
Several shots	689
nine bullets	690
fired more than once	691
six to eight gunshots	692
combination of gunshot 	693
60 rounds	694
 four or five shots. 	695
had been shot	696
six times	697
 fatally shot	698
 the man, 34 year old John Taylor, arrived at NCMC at 7:20 a.m. Doctors sai	699
struck by pellets	700
not yet identified	701
 two shots. 	702
fired one shot	703
a bullet wound	704
 the corner of Voight	705
dozen times	706
fired another shot 	707
struck in the head and right leg	708
gun discharged	709
malfunctioned	710
200-300	711
dozens of rounds	712
 first shot 	713
shot the victim just above the heart at a downward trajectory	714
 a gunshot wound to his abdomen	715
 shot the victim	716
was shot in the head	717
mul­tiple	718
fired a shot at his brother before turning the gun on himself	719
11 times	720
shot him multiple times	721
Multiple rounds	722
the man had a gunshot wound to his abdomen 	723
 barrage of bullets 	724
22 	725
at least six	726
22	727
barrage of bullets,	728
several shell casings	729
a bang	730
 the bullet	731
placed a live round	732
 three shots	733
two gunshot wounds	734
 two bullets	735
 7 to 10 gunshots 	736
eight, seven or eight shots	737
open fire on a few of the guardians of this city	738
fired four more times	739
 fired four more times	740
fired four more times, 	741
four more	742
 sound of gunfire.	743
The barrage of bullets hit the woman in the stomach and the men were each shot at least once in the chest, police Capt	744
a number of times	745
accidentally fired	746
gun went off	747
shots were fired.	748
six of seven shots	749
 four bullets	750
 shots 	751
a single gunshot	752
accidentally discharged	753
went off and shot him in the stomach	754
accidentally shot	755
Police said a party was being held at the club when some kind of disturbance occurred and the man was shot.	756
deployed and shot the gentleman in the abdomen	757
shot both of them	758
 Taylor was shot three times and pronounced dead at the scene. Madison was shot once 	759
police are trying to determine	760
shot his brother	761
They discharged their weapons into the vehicle	762
Two 	763
 two more	764
seven times.	765
 at least one 	766
wounded in the foot 	767
 shot in the hand and chest	768
multiple shots fired	769
not released	770
Three officers opened fire after Denney shot off several rounds and then leveled the gun at officers,	771
shot in the upper body	772
three shots fired	773
had a gunshot	774
with a gunshot wound 	775
multiple shots were fired but at this time we do not know how many	776
About 10 shots	777
and pulled the trigger	778
11 shots	779
multiple shots were fired	780
shot in the back	781
223 caliber rounds	782
loud explosion"	783
 four shots	784
a 9mm round	785
4	786
Shots	787
at least one 	788
two more	789
 least on	790
fired two shots. 	791
shot the man in the abdomen	792
abdomen and leg	793
dozen shots	794
the weapon fired	795
 shot once 	796
 hit once	797
shot multiple times 	798
‘several’ 	799
at least four 	800
fired it at least twice	801
hail of bullets	802
riddled	803
Both deputies shot 	804
Both deputies shot the man	805
"numerous"	806
two more times	807
a bullet shot	808
shot them several times	809
a bullet 	810
 fired twice 	811
multiple gunshot wounds.	812
ten times	813
fired	814
once in the leg and once in the torso	815
“shooting at the officers,”	816
man was shot	817
One round 	818
shots were fired by multiple Port Authority police officers	819
At least two cracks	820
The shooting happened	821
36 	822
multiple bullets	823
 At least 5 bullets were fired	824
5	825
5 bullets	826
opened fire, striking him once	827
 more than 40	828
20 	829
double shooting	830
fired his gun	831
reports of gunfire 	832
8 to 10 shots	833
8 to 10 	834
double shooting 	835
couple of shots 	836
a single gunshot each	837
five rounds	838
each girl sustained a single gunshot wound	839
a ricocheting bullet	840
two loud shots 	841
an officer shot him	842
was shot twice	843
gun went off 	844
fatally shot	845
Each suffered a single gunshot	846
 two gunshot	847
a s	848
 at least five rounds 	849
at least five	850
seven times	851
40	852
is partner fired two shots	853
firing a shot	854
once in the leg and once in the torso as he was running away.	855
 50 and probably closer to 100 rounds	856
two counts of use of a firearm in commission of a felony	857
barrage	858
multiple time 	859
at least five rounds 	860
at least four shots 	861
four shots 	862
five more	863
the gun went off	864
at least 10 rounds	865
a shootout	866
 fired a gun	867
no	868
10 times 	869
 pulled the trigger three times to no avail	870
Nagy was dead of a single gunshot wound and Day was wounded by a self-inflicted shot	871
46 shots 	872
One of the bullets	873
shots were fired	874
at least five rounds	875
bullet 	876
shots 	877
two warning shots	878
6 gunshots	879
received a gunshot wound to the arm and chest.	880
 three gunshot 	881
he heard two gunshots	882
multiple shell casings at the scene	883
five time	884
twice in the back and three times in his front	885
shot six times	886
fired twice	887
shot Snyder once	888
 opened fire	889
Multiple gunshots	890
Police opened fire six times	891
at least 30	892
5 or 6	893
about 15	894
shot Lein and then shot himself.	895
shooting himself in the head	896
15 rounds	897
about 15 rounds	898
eleven shots	899
shoots her, shoots the 15-year-old.	900
the gunshot wound	901
shot five times	902
shot him in the thigh	903
firing twice	904
shot twice in the chest and once in the groin	905
 more than a dozen 	906
17	907
The bullet	908
more than once	909
Six 	910
four times – twice in one leg, once in the other leg and once in the elbow – the woman was shot once 	911
a gunfire	912
 seven 	913
 ten	914
29	915
ore than 20	916
 fourth	917
 dozens	918
shot only once	919
four or five more times	920
 15 	921
dozen	922
 dozen	923
more than two dozen	924
 10 to 12 	925
Twelve 	926
Twelve	927
12 shots	928
Ten	929
 10	930
Washington was struck once in the mouth, twice in the buttocks and once in the midsection. Styles then allegedly pointed the gun at his own son and fired two shots. As officers got out of their cars to approach him, investigators say Styles turned the gun on himself and fired one shot.	931
 a shot 	932
the gunshot	933
Five	934
three or four	935
more than 50	936
three dozen shots	937
at least 60	938
The round 	939
 31	940
Nine	941
at least 10 	942
between eight and ten 	943
at least 14 	944
twice in the back and three times in his front.	945
six to seven	946
49	947
nine or 10	948
more than 20	949
second 	950
nine or 10 	951
21	952
The shot	953
10-12	954
the shot 	955
five or six	956
five to seven	957
a gun shot	958
 12	959
four to five 	960
 eight	961
gun equipped with a laser sight 	962
four times 	963
One round	964
five or six 	965
46	966
the gunshot 	967
six or seven	968
multilple	969
14 	970
At least six 	971
rifle	972
15 to 20	973
 15-20	974
between 20 and 30 	975
7-10	976
between 6-10 	977
more than dozen	978
 11 shell casings	979
once in the finger	980
weapon discharged and a round	981
heard at least six gunshots	982
while firing shots	983
deputies fired at Perkins	984
gunman ‘randomly’ fires	985
A bullet 	986
Police have not said how many shots were fired	987
did not know how many shots the officers fired	988
at least 11	989
Five or six	990
hit five times	991
and fired four more times	992
 13	993
 109	994
thirteen 	995
109 rounds	996
 109 times	997
109 shots fired between nine officers	998
15 or 20	999
fired about 18 shots at Young as she sat in her patrol car Friday night, wounding her in the shoulder, arm and torso. They say he then fired into a bar and into a car, 	1000
 shot at her 18 times through the window	1001
10-12 	1002
two gun shots	1003
7	1004
11 shell casings	1005
more than 20 	1006
Three	1007
10 or 12	1008
33	1009
Three bullet holes could be seen in the window screen and frame at the home	1010
